CONTAINER ID   NAME                         CPU %     MEM USAGE / LIMIT   MEM %     NET I/O      BLOCK I/O        PIDS
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.65MB   18
ef0a9ca3da1c   example-reactive-service-1   0.17     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.66MB   18
ef0a9ca3da1c   example-reactive-service-1   0.16     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.67MB   18
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.67MB   18
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.68MB   18
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.7MB   18
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.7MB   18
ef0a9ca3da1c   example-reactive-service-1   0.15     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.71MB   18
ef0a9ca3da1c   example-reactive-service-1   0.16     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.72MB   18
ef0a9ca3da1c   example-reactive-service-1   0.16     193.5MiB / 512MiB   37.80    74.4MB / 55.8MB   19.1MB / 2.73MB   18
